epoch;loss;acc;f1_score;auc
0;0.7291;0.4783;0.4385;0.4914
1;0.6235;0.6666;0.194;0.6735
2;0.5143;0.7191;0.5427;0.8008
3;0.2865;0.9074;0.8706;0.952
4;0.149;0.9506;0.931;0.9857
5;0.0622;0.9814;0.9739;0.999
6;0.0493;0.9876;0.983;0.999
7;0.0514;0.9845;0.9787;0.9985
8;0.0257;0.9969;0.9957;0.9999
9;0.0084;1.0;1.0;1.0
10;0.0038;1.0;1.0;1.0
11;0.0018;1.0;1.0;1.0
12;0.0019;1.0;1.0;1.0
13;0.0009;1.0;1.0;1.0
14;0.0011;1.0;1.0;1.0
15;0.0009;1.0;1.0;1.0
16;0.0008;1.0;1.0;1.0
17;0.0006;1.0;1.0;1.0
18;0.0007;1.0;1.0;1.0
19;0.0004;1.0;1.0;1.0
