epoch;loss;acc;f1_score;auc
0;0.8513;0.4849;0.3781;0.4511
1;0.8061;0.5963;0.5144;0.6083
2;0.5094;0.7951;0.688;0.8518
3;0.2186;0.9397;0.9166;0.9781
4;0.0608;0.9819;0.9745;0.9994
5;0.0235;0.9909;0.9873;0.9999
6;0.0136;1.0;1.0;1.0
7;0.0088;1.0;1.0;1.0
8;0.0074;1.0;1.0;1.0
9;0.0047;1.0;1.0;1.0
10;0.0031;1.0;1.0;1.0
11;0.0021;1.0;1.0;1.0
12;0.0016;1.0;1.0;1.0
13;0.0013;1.0;1.0;1.0
14;0.0009;1.0;1.0;1.0
15;0.0009;1.0;1.0;1.0
16;0.0007;1.0;1.0;1.0
17;0.0006;1.0;1.0;1.0
18;0.0006;1.0;1.0;1.0
19;0.0005;1.0;1.0;1.0
