epoch;loss;acc;f1_score;auc
0;0.6992;0.5718;0.3856;0.5238
1;0.584;0.7187;0.4;0.732
2;0.4287;0.8343;0.7225;0.9082
3;0.2326;0.9406;0.9116;0.9833
4;0.1;0.9875;0.9816;0.9972
5;0.0362;0.9968;0.9954;0.9997
6;0.0138;1.0;1.0;1.0
7;0.0066;1.0;1.0;1.0
8;0.0041;1.0;1.0;1.0
9;0.0029;1.0;1.0;1.0
10;0.0021;1.0;1.0;1.0
11;0.0016;1.0;1.0;1.0
12;0.0013;1.0;1.0;1.0
13;0.0011;1.0;1.0;1.0
14;0.0009;1.0;1.0;1.0
15;0.0007;1.0;1.0;1.0
16;0.0006;1.0;1.0;1.0
17;0.0006;1.0;1.0;1.0
18;0.0005;1.0;1.0;1.0
19;0.0004;1.0;1.0;1.0
epoch;loss;acc;f1_score;auc
0;0.9878;0.514;0.35;0.4614
