epoch;loss;acc;f1_score;auc
0;0.6116;0.674;0.4159;0.6762
1;0.5608;0.7155;0.5434;0.75
2;0.5291;0.7373;0.5942;0.7855
3;0.5007;0.7556;0.6317;0.8132
4;0.4732;0.7717;0.6639;0.8371
5;0.4435;0.7865;0.6929;0.8597
6;0.4149;0.8029;0.721;0.8793
7;0.3848;0.8196;0.7487;0.8978
8;0.3558;0.8349;0.7718;0.9139
9;0.327;0.8516;0.7966;0.9281
10;0.2974;0.8657;0.8171;0.941
11;0.2711;0.8806;0.8381;0.9515
12;0.2451;0.8923;0.8543;0.9605
13;0.2219;0.9039;0.8703;0.9678
14;0.1984;0.9159;0.8866;0.9743
15;0.1799;0.925;0.8989;0.9788
16;0.1616;0.933;0.9098;0.983
17;0.1472;0.9394;0.9183;0.9858
18;0.1318;0.9474;0.9291;0.9886
19;0.1202;0.9523;0.9357;0.9905
