epoch;loss;acc;f1_score;auc
0;0.7009;0.4952;0.5153;0.5568
1;0.7024;0.4728;0.4794;0.5482
2;0.7025;0.4472;0.4013;0.4739
3;0.6948;0.5175;0.4548;0.5298
4;0.6973;0.5335;0.416;0.4787
5;0.6958;0.5047;0.3347;0.452
6;0.6924;0.5079;0.3245;0.4614
7;0.6763;0.607;0.4225;0.5621
8;0.6765;0.5878;0.3027;0.5064
9;0.6821;0.5814;0.2681;0.4793
10;0.671;0.6134;0.2484;0.5244
11;0.6689;0.623;0.2337;0.5215
12;0.6667;0.6581;0.3184;0.5487
13;0.676;0.6038;0.1388;0.4629
14;0.6648;0.6261;0.1582;0.5273
15;0.6667;0.6357;0.0952;0.5018
16;0.6651;0.6485;0.0677;0.4942
17;0.6634;0.6517;0.1138;0.4963
18;0.6567;0.6389;0.0504;0.5277
19;0.6563;0.6357;0.0499;0.5131
20;0.6647;0.6453;0.0512;0.4484
21;0.67;0.6389;0.0173;0.4385
22;0.6435;0.6485;0.035;0.5823
23;0.6593;0.6485;0.035;0.4908
24;0.6626;0.6485;0.0;0.4462
25;0.6481;0.6517;0.0;0.5197
26;0.649;0.6517;0.0;0.5171
27;0.6474;0.6549;0.0;0.5222
28;0.6538;0.6549;0.0181;0.4838
29;0.6528;0.6581;0.036;0.4914
30;0.653;0.6549;0.0181;0.4962
31;0.6506;0.6549;0.0;0.5028
32;0.6598;0.6549;0.0;0.4574
33;0.6467;0.6549;0.0;0.5172
34;0.6465;0.6613;0.0363;0.5259
35;0.6439;0.6549;0.0;0.5371
36;0.6472;0.6549;0.0;0.5267
37;0.6499;0.6517;0.018;0.505
38;0.65;0.6485;0.0;0.5051
39;0.6412;0.6549;0.0;0.5324
40;0.6435;0.6485;0.0;0.542
41;0.6569;0.6613;0.0363;0.4782
42;0.6599;0.6549;0.0;0.4915
43;0.6452;0.6517;0.0;0.5267
44;0.6537;0.6517;0.0;0.492
45;0.6564;0.6549;0.0;0.4683
46;0.6407;0.6549;0.0;0.538
47;0.6399;0.6549;0.0181;0.5588
48;0.6516;0.6485;0.0;0.4996
49;0.6355;0.6549;0.0;0.581
50;0.6488;0.6581;0.0183;0.503
51;0.6586;0.6549;0.0;0.4673
52;0.6513;0.6485;0.0;0.5261
53;0.6538;0.6581;0.0183;0.4891
54;0.65;0.6581;0.0183;0.4893
55;0.6417;0.6549;0.0181;0.5492
56;0.6507;0.6549;0.0;0.492
57;0.647;0.6485;0.0;0.5116
58;0.6565;0.6581;0.0183;0.4597
59;0.6523;0.6517;0.0;0.4988
60;0.6567;0.6549;0.0181;0.4577
61;0.6545;0.6517;0.0;0.4961
62;0.6381;0.6517;0.018;0.5729
63;0.6602;0.6549;0.0357;0.4556
64;0.6485;0.6549;0.0;0.5192
65;0.6453;0.6517;0.0;0.5303
66;0.6409;0.6517;0.0;0.5518
67;0.6441;0.6581;0.0183;0.5362
68;0.6457;0.6549;0.0;0.5303
69;0.6419;0.6517;0.0;0.548
70;0.6489;0.6549;0.0;0.5068
71;0.644;0.6485;0.0178;0.5487
72;0.6403;0.6453;0.0;0.5738
73;0.6431;0.6549;0.0;0.5505
74;0.6447;0.6581;0.0183;0.529
75;0.6468;0.6517;0.0;0.5181
76;0.645;0.6549;0.0;0.535
77;0.6385;0.6549;0.0;0.5571
78;0.645;0.6581;0.0183;0.5262
79;0.6403;0.6581;0.0183;0.5413
80;0.6442;0.6581;0.0183;0.5293
81;0.6458;0.6517;0.018;0.5303
82;0.6424;0.6485;0.0;0.5536
83;0.6344;0.6549;0.0357;0.5824
84;0.6407;0.6549;0.0181;0.5481
85;0.6372;0.6581;0.0183;0.589
86;0.6408;0.6549;0.0;0.5467
87;0.6383;0.6453;0.0;0.5663
88;0.6371;0.6549;0.0;0.5824
89;0.6418;0.6581;0.0183;0.5504
90;0.6308;0.6517;0.0;0.6098
91;0.6389;0.6549;0.0;0.5619
92;0.6363;0.6549;0.0;0.5684
93;0.6413;0.6517;0.018;0.5532
94;0.6394;0.6549;0.0;0.5672
95;0.6382;0.6549;0.0;0.5718
96;0.6399;0.6549;0.0;0.5539
97;0.6354;0.6485;0.0;0.5862
98;0.6452;0.6485;0.0;0.5435
99;0.6318;0.6549;0.0181;0.6164
