epoch;loss;acc;f1_score;auc
0;0.6758;0.5235;0.3613;0.5122
1;0.6514;0.7178;0.5408;0.6891
2;0.4143;0.8056;0.7232;0.8836
3;0.1684;0.9435;0.9189;0.9867
4;0.1077;0.9749;0.9646;0.9945
5;0.0272;1.0;1.0;1.0
6;0.0094;1.0;1.0;1.0
7;0.004;1.0;1.0;1.0
8;0.0064;1.0;1.0;1.0
9;0.0035;1.0;1.0;1.0
10;0.0019;1.0;1.0;1.0
11;0.0018;1.0;1.0;1.0
12;0.0016;1.0;1.0;1.0
13;0.0009;1.0;1.0;1.0
14;0.0007;1.0;1.0;1.0
15;0.0005;1.0;1.0;1.0
16;0.0006;1.0;1.0;1.0
17;0.0004;1.0;1.0;1.0
18;0.0003;1.0;1.0;1.0
19;0.0005;1.0;1.0;1.0
epoch;loss;acc;f1_score;auc
0;0.6659;0.6099;0.1;0.5021
1;0.6551;0.6191;0.0314;0.576
2;0.5882;0.7244;0.534;0.7271
3;0.4888;0.7894;0.6851;0.8376
4;0.4111;0.8297;0.7511;0.8929
5;0.3124;0.8885;0.8448;0.9425
6;0.2283;0.9102;0.8755;0.9655
7;0.1599;0.9473;0.9257;0.9888
8;0.1285;0.9597;0.9456;0.9901
9;0.0688;0.9783;0.9704;0.9985
10;0.048;0.9907;0.9874;0.9997
11;0.0295;0.9938;0.9915;0.9998
12;0.0322;0.9938;0.9916;0.9996
13;0.0177;1.0;1.0;1.0
14;0.0077;1.0;1.0;1.0
15;0.0068;1.0;1.0;1.0
16;0.0043;1.0;1.0;1.0
17;0.0059;1.0;1.0;1.0
18;0.002;1.0;1.0;1.0
19;0.0037;1.0;1.0;1.0
