epoch;loss;acc;f1_score;auc
0;0.6797;0.5874;0.2937;0.4765
1;0.6156;0.6567;0.037;0.647
2;0.5581;0.7029;0.3478;0.7877
3;0.4147;0.8316;0.7357;0.883
4;0.3857;0.8118;0.7466;0.8864
5;0.2784;0.9075;0.8556;0.9475
6;0.1982;0.9141;0.8796;0.979
7;0.1499;0.9636;0.9473;0.9888
8;0.1377;0.9372;0.909;0.9869
9;0.0748;0.9768;0.9671;0.9973
10;0.0323;0.9966;0.9952;1.0
11;0.0215;1.0;1.0;1.0
12;0.0167;1.0;1.0;1.0
13;0.0128;1.0;1.0;1.0
14;0.006;1.0;1.0;1.0
15;0.008;0.9966;0.9952;1.0
16;0.0116;0.9966;0.9952;0.9998
17;0.0045;1.0;1.0;1.0
18;0.0033;1.0;1.0;1.0
19;0.0019;1.0;1.0;1.0
